fold,train_start,train_end,test_start,test_end,train_rows,test_rows,test_tickers,mae,rmse,spearman_rank_corr,universe_avg_actual_return,top5_avg_actual_return,top10_avg_actual_return
1,2020-10-20,2022-10-19,2022-10-20,2023-01-20,246024,31122,494,0.1149224928498055,0.15978681810559064,-0.24192757471627113,0.04030530081804832,-0.057662909692912566,-0.03690298045941722
2,2020-10-20,2023-01-20,2023-01-23,2023-04-21,277146,31148,495,0.11662053476735175,0.19220747511726152,0.035965411419918804,0.032849578441689356,-0.033812836572880894,-0.03059482707481591
3,2020-10-20,2023-04-21,2023-04-24,2023-07-24,308294,31184,495,0.1114581863580809,0.19239965634201248,0.10736513205021758,0.03689201387876218,0.2635103308832543,0.23219007530275934
4,2020-10-20,2023-07-24,2023-07-25,2023-10-20,339478,31242,496,0.1139563297105824,0.1502407745271212,0.05221316789330196,0.03796094221673803,-0.003307383336491214,0.0019899836177698954
5,2020-10-20,2023-10-20,2023-10-23,2024-01-23,370720,31266,497,0.13485951602975182,0.20032151112264315,0.16336611798738904,0.11968679938647377,0.16409225494315344,0.13605417668730527
6,2020-10-20,2024-01-23,2024-01-24,2024-04-23,401986,31311,497,0.10334962092234463,0.14018430538195448,0.08778742015371067,0.0389339977926079,0.24966065552525316,0.17859791089432175
7,2020-10-20,2024-04-23,2024-04-24,2024-07-24,433297,31350,499,0.10794409643801652,0.13904524803153792,-0.08165166784130753,0.06299137485338907,0.03542055569583602,-0.023502406085216313
8,2020-10-20,2024-07-24,2024-07-25,2024-10-22,464647,31437,499,0.12823273161472193,0.19559682857514524,0.19938918122203125,0.06395441671737996,0.3188286999746704,0.2641227198737094
9,2020-10-20,2024-10-22,2024-10-23,2025-01-24,496084,31437,499,0.12791776910661665,0.1686746497474727,-0.08781440444031431,-0.03000257672737033,-0.008649353920648176,-0.03052235484750598
10,2020-10-20,2025-01-24,2025-01-27,2025-04-25,527521,31437,499,0.12658391792815274,0.18313622199781018,0.22952882467464036,0.05011655669424158,0.1193804982093289,0.14349062846319346
11,2020-10-20,2025-04-25,2025-04-28,2025-07-28,558958,31490,500,0.1185751382766275,0.18629605384617295,0.25168899224854746,0.07047873686899651,0.4017255385235082,0.30882181076585075
12,2020-10-20,2025-07-28,2025-07-29,2025-10-24,590448,31500,500,0.12728889563336968,0.21585996915474842,0.05303277235191505,0.041995262372008124,0.30113821508799826,0.236659303795355
13,2020-10-20,2025-10-24,2025-10-27,2026-01-27,621948,31559,501,0.1488543957974365,0.20922548711062222,0.0342547373152292,0.04647086901135183,0.6152688479346735,0.5202411677533821
