feature,importance
history_days,0.4724894298556843
volatility_60d,0.09424828836122433
drawdown_252d,0.0851183573160899
log_avg_volume_20d,0.06112132600465642
volatility_20d,0.05018057108322924
mean_return_60d,0.043381888208158685
ret_60d,0.04061198993258601
sector_Energy,0.0341325498852797
mean_return_20d,0.02259911376178217
ret_20d,0.02173267180650924
ret_5d,0.011737412528647021
sector_Health Care,0.011169259900517136
sector_Information Technology,0.01048342461673549
sector_Consumer Staples,0.009607229627566787
sector_Consumer Discretionary,0.007253709853755128
sector_Financials,0.006119620302022866
sector_Utilities,0.005661281859202312
sector_Industrials,0.00368628466123407
sector_Materials,0.0035207295978958598
sector_Communication Services,0.0026687770307131427
sector_Real Estate,0.002476083806510192
