feature,importance
volatility_60d,0.18188700482461365
drawdown_252d,0.1668291753386502
log_avg_volume_20d,0.12736093357177752
volatility_20d,0.10720923709899458
mean_return_60d,0.0846219798085879
ret_60d,0.07277212065262202
sector_Energy,0.04724116856394486
mean_return_20d,0.04555568991615482
ret_20d,0.04377207171071079
ret_5d,0.028764751640613557
sector_Health Care,0.0177777358093879
sector_Consumer Staples,0.015590746588823307
sector_Information Technology,0.015513867602319837
sector_Financials,0.011365635410724242
sector_Consumer Discretionary,0.010997438816205345
sector_Industrials,0.007290472809302428
sector_Utilities,0.0045795869947727165
sector_Real Estate,0.003918466452314091
sector_Communication Services,0.003707747565174927
sector_Materials,0.003244168824305408
