date,ticker,sector,industry,predicted_63d_return,volatility_60d,ret_60d
2026-06-08,GEV,Industrials,Heavy Electrical Equipment,0.16358334,0.49826635033419786,0.12273492961135846
2026-06-08,FISV,Financials,Transaction & Payment Processing Services,0.09810623,0.37732970751558176,-0.06042780748663101
2026-06-08,WBD,Communication Services,Broadcasting,0.09291672,0.10937141986189536,-0.03516763848396498
2026-06-08,CEG,Utilities,Electric Utilities,0.06976848,0.5308896630229052,-0.16776807358947954
2026-06-08,GEHC,Health Care,Health Care Equipment,0.063405804,0.4002300250984897,-0.0800142247510669
2026-06-08,Q,Information Technology,Semiconductor Materials & Equipment,0.05346103,0.5657551645339529,0.35031787584143625
2026-06-08,SOLV,Health Care,Health Care Technology,0.031882577,0.2855690161156076,0.19162129461584998
2026-06-08,VLTO,Industrials,Environmental & Facilities Services,0.031328864,0.2169480954300189,-0.053218788352114244
2026-06-08,KVUE,Consumer Staples,Personal Care Products,-0.040593944,0.21520372032805227,0.022727272727272707
2026-06-08,TTD,Communication Services,Advertising,-0.041043967,0.6119730988337893,-0.2677224736048265
2026-06-08,PSKY,Communication Services,Movies & Entertainment,-0.0569193,0.45921114136493113,0.0661199384930804
2026-06-08,EXE,Energy,Oil & Gas Exploration & Production,-0.083058625,0.2659455703947433,-0.15658827920865992
2026-06-08,SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",-0.09419194,0.9579768272132516,1.6536783243907172
2026-06-08,KMI,Energy,Oil & Gas Storage & Transportation,-0.1468317,0.22037891794722497,-0.05355521936459895
2026-06-08,EQT,Energy,Oil & Gas Exploration & Production,-0.15145099,0.27728675511464107,-0.17845509539320603
2026-06-08,TPL,Energy,Oil & Gas Exploration & Production,-0.15659979,0.5486812304050555,-0.2494328064735687
2026-06-08,CMG,Consumer Discretionary,Restaurants,-0.16840419,0.33822073428883587,-0.10073710073710074
2026-06-08,WMB,Energy,Oil & Gas Storage & Transportation,-0.19542736,0.23542774929635438,-0.019654841802492884
2026-06-08,COIN,Financials,Financial Exchanges & Data,-0.21064365,0.6755041787601986,-0.16090645695364236
2026-06-08,BRO,Financials,Insurance Brokers,-0.21999931,0.32084364567169,-0.14023124814705
2026-06-08,CVX,Energy,Integrated Oil & Gas,-0.2306974,0.2623116797632316,-0.030588717528308607
2026-06-08,AES,Utilities,Independent Power Producers & Energy Traders,-0.2903545,0.048030275596891936,0.04768683274021357
