feature,importance
volatility_60d,0.17473091481596945
drawdown_252d,0.15099368622530446
log_avg_volume_20d,0.1191812870303346
volatility_20d,0.1093476291611978
mean_return_60d,0.08538835448113193
ret_60d,0.07843666198723533
sector_Energy,0.07479695989821615
mean_return_20d,0.04931363437784329
ret_20d,0.046601110579586595
ret_5d,0.03019259390784717
sector_Information Technology,0.015441442995164435
sector_Financials,0.012243134410699647
sector_Health Care,0.011949980809691656
sector_Consumer Discretionary,0.009903724744541646
sector_Consumer Staples,0.006749660417324253
sector_Utilities,0.005935801440446489
sector_Communication Services,0.005903747174887324
sector_Industrials,0.005803929477027994
sector_Real Estate,0.004398018644886678
sector_Materials,0.0026877274206631926
