feature,importance
volatility_60d,0.17673204499674422
drawdown_252d,0.17062682978943197
log_avg_volume_20d,0.1462656943273066
volatility_20d,0.10221884911493577
mean_return_60d,0.0701906498292322
ret_60d,0.06812243283776713
mean_return_20d,0.05391674804189672
ret_20d,0.052130365274869014
sector_Energy,0.02950531408505524
ret_5d,0.028980804559313907
sector_Health Care,0.01766756361553225
sector_Consumer Discretionary,0.017349581007815786
sector_Information Technology,0.015551810188834848
sector_Real Estate,0.012135318179991233
sector_Financials,0.010650694229474655
sector_Industrials,0.009873218674026477
sector_Utilities,0.005566552366028109
sector_Communication Services,0.004818012350831947
sector_Consumer Staples,0.004761440927656909
sector_Materials,0.00293607560325501
