feature,importance
drawdown_252d,0.17860943167938909
volatility_60d,0.167555003502551
log_avg_volume_20d,0.1548286058266105
volatility_20d,0.09197428993242279
mean_return_60d,0.07588728508342031
ret_60d,0.07305201248335658
mean_return_20d,0.05233179910546355
ret_20d,0.047950955214357535
ret_5d,0.027272004911864232
sector_Health Care,0.025288584010644783
sector_Energy,0.019537698531062415
sector_Consumer Discretionary,0.019079948729483914
sector_Information Technology,0.01505806700994128
sector_Real Estate,0.011477784777909261
sector_Consumer Staples,0.009287342734617687
sector_Financials,0.008739709279326387
sector_Utilities,0.00726034606627723
sector_Industrials,0.006784516849063434
sector_Materials,0.004534039591603409
sector_Communication Services,0.0034905746806346304
