date,open,high,low,close,adj_close,volume
2020-07-27,117.07,117.3,115.695,116.38,113.7,259935
2020-07-28,115.48,116.805,114.725,116.12,113.45,112665
2020-07-29,116.26,116.67,115.12,115.56,112.9,292520
2020-07-30,114.68,116.23,113.42,115.63,112.97,223738
2020-07-31,115.23,117.0,114.15,117.0,114.31,227993
2020-08-03,116.315,117.075,115.52,116.4,113.72,382020
2020-08-04,115.87,118.33,115.775,117.275,114.58,361260
2020-08-05,123.31,130.24,123.31,127.65,124.71,975451
2020-08-06,126.99,131.625,125.61,130.81,127.8,508793
2020-08-07,130.0,131.9,128.67,129.92,126.93,482682
2020-08-10,129.55,131.26,128.495,128.73,125.77,162234
2020-08-11,130.455,132.46,130.02,130.53,127.53,493006
2020-08-12,130.62,133.0,130.52,131.78,128.75,488101
2020-08-13,130.76,132.345,130.47,131.03,128.02,183396
2020-08-14,129.99,131.045,129.765,130.46,127.46,112032
2020-08-17,129.78,130.0,128.58,129.33,126.35,122886
2020-08-18,129.36,129.56,128.39,128.91,125.94,153948
2020-08-19,129.105,130.185,127.51,127.775,124.84,288283
2020-08-20,126.98,128.435,126.57,128.06,125.11,81066
2020-08-21,128.04,128.16,127.25,127.41,124.48,113419
2020-08-24,128.165,130.85,127.94,130.64,127.63,144457
2020-08-25,130.735,131.04,129.32,129.795,126.81,123619
2020-08-26,129.92,132.59,129.6,132.12,129.08,187644
2020-08-27,132.915,136.325,132.915,133.76,130.68,261358
2020-08-28,134.33,136.775,133.7,135.55,132.43,231435
2020-08-31,135.23,135.49,131.27,132.05,129.01,198236
2020-09-01,131.895,133.53,130.9,133.53,130.46,107540
2020-09-02,133.59,135.82,133.32,135.41,132.29,174299
2020-09-03,135.47,137.205,132.08,133.24,130.17,355180
2020-09-04,133.52,134.85,129.715,131.97,128.93,142194
2020-09-08,132.045,137.07,130.945,134.1,131.01,196998
2020-09-09,134.445,135.485,132.52,133.37,130.3,185474
2020-09-10,133.43,136.71,132.755,133.14,130.08,177626
2020-09-11,133.64,133.64,131.165,131.8,128.77,96937
2020-09-14,132.705,132.75,130.92,131.25,128.23,184545
2020-09-15,131.62,132.485,131.005,131.27,128.25,151493
2020-09-16,132.29,133.58,131.56,132.11,129.07,103000
2020-09-17,130.87,131.63,128.67,130.21,127.21,109421
2020-09-18,129.72,130.69,128.18,128.64,125.68,147422
2020-09-21,126.2,126.56,123.67,125.34,122.46,175268
2020-09-22,125.43,127.41,124.84,127.19,124.26,119886
2020-09-23,127.075,127.21,122.94,123.3,120.46,141899
2020-09-24,121.93,123.725,120.85,122.505,119.69,124003
2020-09-25,121.5,124.17,121.015,124.04,121.19,149589
2020-09-28,125.83,126.84,125.445,125.82,122.93,145989
2020-09-29,125.93,126.19,123.75,125.34,122.46,147924
2020-09-30,123.4,125.495,123.4,124.21,121.35,258973
2020-10-01,124.89,125.44,122.435,123.3,120.46,409511
2020-10-02,121.91,123.65,121.69,122.55,119.73,255063
2020-10-05,123.36,123.52,122.35,123.44,120.6,245655
2020-10-06,123.12,124.16,120.62,120.92,118.14,303344
2020-10-07,121.93,123.28,120.95,122.94,120.11,396169
2020-10-08,123.59,123.74,122.465,123.1,120.27,373822
2020-10-09,123.855,125.545,123.37,124.93,122.06,989450
2020-10-12,124.95,125.94,123.76,124.98,122.1,525683
2020-10-13,129.905,131.36,127.9,128.97,126.0,895917
2020-10-14,129.22,129.5,125.33,126.59,123.68,408302
2020-10-15,125.08,127.36,124.45,127.36,124.43,321172
2020-10-16,127.93,128.04,126.37,126.88,123.96,264418
2020-10-19,127.25,127.25,123.71,124.21,121.35,239736
2020-10-20,124.59,125.72,123.67,125.05,122.17,265096
2020-10-21,124.445,127.56,123.89,126.655,123.74,336074
2020-10-22,126.67,128.1,126.02,127.5,124.57,246644
2020-10-23,128.185,128.5,126.35,128.34,125.39,258508
2020-10-26,127.11,127.11,122.99,124.05,121.2,343796
2020-10-27,124.04,124.59,123.04,123.38,120.54,244126
2020-10-28,120.9,121.5,118.37,118.42,115.7,562713
2020-10-29,118.16,122.62,117.26,121.57,118.77,347507
2020-10-30,120.72,121.74,119.1,121.26,118.47,329386
2020-11-02,122.25,122.895,119.83,120.13,117.37,382105
2020-11-03,121.605,125.07,121.4,124.12,121.26,402285
2020-11-04,123.41,126.85,123.41,125.07,122.19,337894
2020-11-05,126.25,128.6,125.93,127.03,124.11,272271
2020-11-06,126.255,128.03,124.675,127.41,124.48,318026
2020-11-09,140.26,147.575,138.15,142.56,139.28,1573238
2020-11-10,139.955,142.33,137.71,142.19,138.92,928992
2020-11-11,141.47,141.95,136.64,137.78,134.61,414322
2020-11-12,136.67,138.43,134.105,135.44,132.32,429680
2020-11-13,140.87,141.07,136.55,138.5,135.31,712144
2020-11-16,141.93,144.585,141.72,144.58,141.25,771405
2020-11-17,144.15,144.79,142.58,144.5,141.18,536720
2020-11-18,144.42,145.44,143.5,143.91,140.6,420613
2020-11-19,142.4,143.26,141.71,141.83,138.57,288011
2020-11-20,141.525,142.6,140.92,141.03,137.79,291110
2020-11-23,142.455,147.73,141.72,146.1,142.74,466040
2020-11-24,148.02,151.83,147.875,151.42,147.94,762505
2020-11-25,149.85,150.1,147.29,149.14,145.71,328747
2020-11-27,148.895,150.26,146.54,147.13,143.74,131062
2020-11-30,147.05,148.65,146.33,148.03,144.62,195815
2020-12-01,149.57,151.36,149.05,149.44,146.0,347603
2020-12-02,149.3,154.0,148.36,153.51,149.98,389926
2020-12-03,153.45,154.41,152.15,153.16,149.64,258519
2020-12-04,153.69,154.68,152.9,154.145,150.6,225195
2020-12-07,153.135,153.835,152.33,153.63,150.1,200386
2020-12-08,152.48,154.83,152.3,153.76,150.22,291363
2020-12-09,156.05,157.43,153.92,154.39,150.84,344370
2020-12-10,153.45,155.26,152.53,154.62,151.06,339999
2020-12-11,169.675,179.39,165.375,175.62,171.58,2053998
2020-12-14,173.875,177.24,168.83,169.35,165.45,702799
2020-12-15,170.44,174.45,167.86,173.92,169.92,377427
2020-12-16,173.89,174.75,171.66,173.07,169.09,341872
2020-12-17,173.815,174.74,171.98,173.58,169.59,219493
2020-12-18,173.61,175.8,172.3,173.45,169.46,294081
