profile,rank,date,ticker,sector,industry,weight,predicted_63d_return,volatility_60d,ret_60d,sector_weight_after_selection,volatility_cap_relaxed
conservative,1,2026-06-05,CMG,Consumer Discretionary,Restaurants,0.1,0.0916050067350079,0.3461615819842223,-0.1339048182086905,0.1,False
conservative,2,2026-06-05,PYPL,Financials,Transaction & Payment Processing Services,0.1,0.0674732257551934,0.3299097485959443,-0.0909491301475444,0.2,False
conservative,3,2026-06-05,CPRT,Industrials,Diversified Support Services,0.1,0.0665843906260816,0.2424142624758961,-0.1283422459893048,0.2,False
conservative,4,2026-06-05,ICE,Financials,Financial Exchanges & Data,0.1,0.0630415000410844,0.2223769935319005,-0.095980573838584,0.2,False
conservative,5,2026-06-05,LDOS,Industrials,Diversified Support Services,0.1,0.0608388791348029,0.2784980068193415,-0.2803678852383156,0.2,False
conservative,6,2026-06-05,ROP,Information Technology,Electronic Equipment & Instruments,0.1,0.0573613174916604,0.2608988200375298,-0.0539648204018898,0.30000000000000004,False
conservative,7,2026-06-05,UHS,Health Care,Health Care Facilities,0.1,0.0550906238247005,0.3225721754484718,-0.2200763892624671,0.1,False
conservative,8,2026-06-05,TRMB,Information Technology,Application Software,0.1,0.0515170849931135,0.3337852422481724,-0.1987871616624759,0.30000000000000004,False
conservative,9,2026-06-05,PTC,Information Technology,Application Software,0.1,0.0506425017542745,0.3179649010470173,-0.1388207932616758,0.30000000000000004,False
conservative,10,2026-06-05,NFLX,Communication Services,Movies & Entertainment,0.1,0.0502649714166752,0.3166262813810107,-0.1336424957841483,0.1,False
balanced,1,2026-06-05,TSCO,Consumer Discretionary,Other Specialty Retail,0.1,0.1269551016875797,0.4221090976979032,-0.3932355338223309,0.30000000000000004,False
balanced,2,2026-06-05,CMG,Consumer Discretionary,Restaurants,0.1,0.0916050067350079,0.3461615819842223,-0.1339048182086905,0.30000000000000004,False
balanced,3,2026-06-05,CSGP,Real Estate,Real Estate Services,0.1,0.0899349767116303,0.3710170905785821,-0.2530306369847916,0.1,False
balanced,4,2026-06-05,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,0.0897762288448831,0.481040541159216,-0.2993489743274782,0.30000000000000004,False
balanced,5,2026-06-05,FIS,Financials,Transaction & Payment Processing Services,0.1,0.0826386004839286,0.3671139282704432,-0.1834578973592426,0.30000000000000004,False
balanced,6,2026-06-05,TYL,Information Technology,Application Software,0.1,0.0792665750486939,0.3676961901177468,-0.1032443296009189,0.2,False
balanced,7,2026-06-05,GDDY,Information Technology,Internet Services & Infrastructure,0.1,0.078866491062903,0.4215043201349556,-0.0243958839172158,0.2,False
balanced,8,2026-06-05,FISV,Financials,Transaction & Payment Processing Services,0.1,0.0677795983044702,0.3810530549538461,-0.0694990596683194,0.30000000000000004,False
balanced,9,2026-06-05,PYPL,Financials,Transaction & Payment Processing Services,0.1,0.0674732257551934,0.3299097485959443,-0.0909491301475444,0.30000000000000004,False
balanced,10,2026-06-05,CPRT,Industrials,Diversified Support Services,0.1,0.0665843906260816,0.2424142624758961,-0.1283422459893048,0.1,False
aggressive,1,2026-06-05,STX,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,0.1860297537083557,0.6525839311232889,1.198920545954642,0.30000000000000004,False
aggressive,2,2026-06-05,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",0.1,0.1854338103570713,0.6101446496380475,0.7210260636653962,0.30000000000000004,False
aggressive,3,2026-06-05,FTNT,Information Technology,Systems Software,0.1,0.1740952229801144,0.5674004962613471,0.7334690943938669,0.30000000000000004,False
aggressive,4,2026-06-05,CEG,Utilities,Electric Utilities,0.1,0.1337940904920793,0.5302057799721217,-0.1511426477446865,0.1,False
aggressive,5,2026-06-05,TPL,Energy,Oil & Gas Exploration & Production,0.1,0.1279647348035159,0.5474163854867307,-0.255932494606823,0.2,False
aggressive,6,2026-06-05,TSCO,Consumer Discretionary,Other Specialty Retail,0.1,0.1269551016875797,0.4221090976979032,-0.3932355338223309,0.30000000000000004,False
aggressive,7,2026-06-05,CMG,Consumer Discretionary,Restaurants,0.1,0.0916050067350079,0.3461615819842223,-0.1339048182086905,0.30000000000000004,False
aggressive,8,2026-06-05,CSGP,Real Estate,Real Estate Services,0.1,0.0899349767116303,0.3710170905785821,-0.2530306369847916,0.1,False
aggressive,9,2026-06-05,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.1,0.0897762288448831,0.481040541159216,-0.2993489743274782,0.30000000000000004,False
aggressive,10,2026-06-05,APA,Energy,Oil & Gas Exploration & Production,0.1,0.0858547663192678,0.5106937927940484,0.1166412213740457,0.2,False
