feature,importance
history_days,0.449087594972061
volatility_60d,0.0996481258503216
drawdown_252d,0.0815001658783923
log_avg_volume_20d,0.05879170889196527
volatility_20d,0.056195718218401455
ret_60d,0.04177956168036349
mean_return_60d,0.041683838349926144
sector_Energy,0.03578385517534965
mean_return_20d,0.023201074763862822
ret_20d,0.02204431552462496
sector_Information Technology,0.013770693171745639
sector_Consumer Staples,0.011883565246184332
sector_Consumer Discretionary,0.01181493519049977
ret_5d,0.011784118353809521
sector_Health Care,0.01119048213655686
sector_Financials,0.006650045255338302
sector_Utilities,0.005833688816943731
sector_Industrials,0.005617012574568737
sector_Real Estate,0.004669944909618533
sector_Materials,0.00443932958894914
sector_Communication Services,0.002630225450516756
