ticker,asof_date,volatility_60d,ret_60d
DUK,2023-12-29,0.162213,0.127047
DVA,2023-12-29,0.484453,0.124651
DVN,2023-12-29,0.256038,0.045455
DXCM,2023-12-29,0.465471,0.416381
EA,2023-12-29,0.170167,0.13314
EBAY,2023-12-29,0.263746,0.017012
ECL,2023-12-29,0.190674,0.171251
ED,2023-12-29,0.158765,0.08066
EFX,2023-12-29,0.319113,0.374368
EG,2023-12-29,0.273295,-0.081944
EIX,2023-12-29,0.244006,0.167429
EL,2023-12-29,0.585651,0.028322
ELV,2023-12-29,0.169366,0.077728
EME,2023-12-29,0.253613,0.049085
EMR,2023-12-29,0.245491,0.02842
EOG,2023-12-29,0.2421,0.013323
EPAM,2023-12-29,0.343467,0.230909
EQIX,2023-12-29,0.227896,0.12608
EQR,2023-12-29,0.253686,0.05431
EQT,2023-12-29,0.326759,-0.024846
ERIE,2023-12-29,0.24244,0.110842
ES,2023-12-29,0.30785,0.099982
ESS,2023-12-29,0.269197,0.181229
ETN,2023-12-29,0.255981,0.151094
ETR,2023-12-29,0.201728,0.111416
EVRG,2023-12-29,0.21416,0.07294
EW,2023-12-29,0.295202,0.070907
EXC,2023-12-29,0.290904,-0.03984
EXE,2023-12-29,0.249185,-0.063876
EXPD,2023-12-29,0.19728,0.102826
EXPE,2023-12-29,0.505622,0.516377
EXR,2023-12-29,0.398699,0.378836
F,2023-12-29,0.413567,0.017529
FANG,2023-12-29,0.227267,0.06597
FAST,2023-12-29,0.210989,0.177208
FCX,2023-12-29,0.362855,0.18689
FDS,2023-12-29,0.168151,0.065757
FDX,2023-12-29,0.331604,-0.027076
FE,2023-12-29,0.199387,0.092344
FFIV,2023-12-29,0.18476,0.149727
FICO,2023-12-29,0.283301,0.355211
FIS,2023-12-29,0.272278,0.106689
FISV,2023-12-29,0.177215,0.176497
FITB,2023-12-29,0.406249,0.4375
FIX,2023-12-29,0.411778,0.234973
FOX,2023-12-29,0.212021,-0.013728
FOXA,2023-12-29,0.216241,-0.02063
FRT,2023-12-29,0.254979,0.173557
FSLR,2023-12-29,0.53457,0.134194
FTNT,2023-12-29,0.354467,0.005151
FTV,2023-12-29,0.245462,-0.003383
GD,2023-12-29,0.227564,0.184759
GDDY,2023-12-29,0.324904,0.438872
GE,2023-12-29,0.250604,0.172623
GEHC,2023-12-29,0.272604,0.139364
GEN,2023-12-29,0.281312,0.330554
GILD,2023-12-29,0.208086,0.084449
GIS,2023-12-29,0.192787,0.032253
GL,2023-12-29,0.162138,0.114079
GLW,2023-12-29,0.197158,0.013648
GM,2023-12-29,0.377105,0.157589
GNRC,2023-12-29,0.457415,0.270698
GOOG,2023-12-29,0.294422,0.035019
GOOGL,2023-12-29,0.293169,0.033282
GPC,2023-12-29,0.309752,-0.032098
GPN,2023-12-29,0.284467,0.125587
GRMN,2023-12-29,0.252482,0.234966
GS,2023-12-29,0.241158,0.250373
GWW,2023-12-29,0.214945,0.187021
HAL,2023-12-29,0.287405,-0.055149
