ticker,name,sector,industry,index,country
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,SP500,US
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
SRE,Sempra,Utilities,Multi-Utilities,SP500,US
NOW,ServiceNow,Information Technology,Systems Software,SP500,US
SHW,Sherwin-Williams,Materials,Specialty Chemicals,SP500,US
SPG,Simon Property Group,Real Estate,Retail REITs,SP500,US
SWKS,Skyworks Solutions,Information Technology,Semiconductors,SP500,US
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,SP500,US
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,SP500,US
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,SP500,US
SOLV,Solventum,Health Care,Health Care Technology,SP500,US
SO,Southern Company,Utilities,Electric Utilities,SP500,US
LUV,Southwest Airlines,Industrials,Passenger Airlines,SP500,US
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,SP500,US
SBUX,Starbucks,Consumer Discretionary,Restaurants,SP500,US
STT,State Street Corporation,Financials,Asset Management & Custody Banks,SP500,US
STLD,Steel Dynamics,Materials,Steel,SP500,US
STE,Steris,Health Care,Health Care Equipment,SP500,US
SYK,Stryker Corporation,Health Care,Health Care Equipment,SP500,US
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
SYF,Synchrony Financial,Financials,Consumer Finance,SP500,US
SNPS,Synopsys,Information Technology,Application Software,SP500,US
SYY,Sysco,Consumer Staples,Food Distributors,SP500,US
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,SP500,US
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,SP500,US
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,SP500,US
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP500,US
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,SP500,US
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,SP500,US
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,SP500,US
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,SP500,US
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,SP500,US
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,SP500,US
TXN,Texas Instruments,Information Technology,Semiconductors,SP500,US
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,SP500,US
TXT,Textron,Industrials,Aerospace & Defense,SP500,US
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,SP500,US
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,SP500,US
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,SP500,US
TTD,Trade Desk (The),Communication Services,Advertising,SP500,US
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,SP500,US
TT,Trane Technologies,Industrials,Building Products,SP500,US
TDG,TransDigm Group,Industrials,Aerospace & Defense,SP500,US
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,SP500,US
TRMB,Trimble Inc.,Information Technology,Application Software,SP500,US
TFC,Truist Financial,Financials,Diversified Banks,SP500,US
TYL,Tyler Technologies,Information Technology,Application Software,SP500,US
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,SP500,US
USB,U.S. Bancorp,Financials,Diversified Banks,SP500,US
UBER,Uber,Industrials,Passenger Ground Transportation,SP500,US
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,SP500,US
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,SP500,US
UNP,Union Pacific Corporation,Industrials,Rail Transportation,SP500,US
UAL,United Airlines Holdings,Industrials,Passenger Airlines,SP500,US
UPS,United Parcel Service,Industrials,Air Freight & Logistics,SP500,US
URI,United Rentals,Industrials,Trading Companies & Distributors,SP500,US
UNH,UnitedHealth Group,Health Care,Managed Health Care,SP500,US
UHS,Universal Health Services,Health Care,Health Care Facilities,SP500,US
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,SP500,US
VEEV,Veeva Systems,Health Care,Health Care Technology,SP500,US
VTR,Ventas,Real Estate,Health Care REITs,SP500,US
VLTO,Veralto,Industrials,Environmental & Facilities Services,SP500,US
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,SP500,US
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,SP500,US
VZ,Verizon,Communication Services,Integrated Telecommunication Services,SP500,US
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,SP500,US
VRT,Vertiv,Industrials,Electrical Components & Equipment,SP500,US
VTRS,Viatris,Health Care,Pharmaceuticals,SP500,US
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,SP500,US
V,Visa Inc.,Financials,Transaction & Payment Processing Services,SP500,US
VST,Vistra Corp.,Utilities,Electric Utilities,SP500,US
VMC,Vulcan Materials Company,Materials,Construction Materials,SP500,US
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,SP500,US
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,SP500,US
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,SP500,US
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,SP500,US
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,SP500,US
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,SP500,US
WM,Waste Management,Industrials,Environmental & Facilities Services,SP500,US
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,SP500,US
WEC,WEC Energy Group,Utilities,Electric Utilities,SP500,US
WFC,Wells Fargo,Financials,Diversified Banks,SP500,US
WELL,Welltower,Real Estate,Health Care REITs,SP500,US
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,SP500,US
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",SP500,US
WY,Weyerhaeuser,Real Estate,Timber REITs,SP500,US
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,SP500,US
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,SP500,US
WTW,Willis Towers Watson,Financials,Insurance Brokers,SP500,US
WDAY,"Workday, Inc.",Information Technology,Application Software,SP500,US
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,SP500,US
XEL,Xcel Energy,Utilities,Multi-Utilities,SP500,US
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,SP500,US
YUM,Yum! Brands,Consumer Discretionary,Restaurants,SP500,US
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,SP500,US
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,SP500,US
ZTS,Zoetis,Health Care,Pharmaceuticals,SP500,US
