ticker,name,sector,industry,index,country
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,SP500,US
CDNS,Cadence Design Systems,Information Technology,Application Software,SP500,US
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,SP500,US
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,SP500,US
COF,Capital One,Financials,Consumer Finance,SP500,US
CAH,Cardinal Health,Health Care,Health Care Distributors,SP500,US
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SP500,US
CARR,Carrier Global,Industrials,Building Products,SP500,US
CVNA,Carvana,Consumer Discretionary,Automotive Retail,SP500,US
CASY,Casey's,Consumer Staples,Food Retail,SP500,US
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,SP500,US
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,SP500,US
CBRE,CBRE Group,Real Estate,Real Estate Services,SP500,US
CDW,CDW Corporation,Information Technology,Technology Distributors,SP500,US
COR,Cencora,Health Care,Health Care Distributors,SP500,US
CNC,Centene Corporation,Health Care,Managed Health Care,SP500,US
CNP,CenterPoint Energy,Utilities,Multi-Utilities,SP500,US
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,SP500,US
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,SP500,US
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,SP500,US
CHTR,Charter Communications,Communication Services,Cable & Satellite,SP500,US
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,SP500,US
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,SP500,US
CB,Chubb Limited,Financials,Property & Casualty Insurance,SP500,US
CHD,Church & Dwight,Consumer Staples,Household Products,SP500,US
CIEN,Ciena,Information Technology,Communications Equipment,SP500,US
CI,Cigna,Health Care,Health Care Services,SP500,US
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,SP500,US
CTAS,Cintas,Industrials,Diversified Support Services,SP500,US
CSCO,Cisco,Information Technology,Communications Equipment,SP500,US
C,Citigroup,Financials,Diversified Banks,SP500,US
CFG,Citizens Financial Group,Financials,Regional Banks,SP500,US
CLX,Clorox,Consumer Staples,Household Products,SP500,US
CME,CME Group,Financials,Financial Exchanges & Data,SP500,US
CMS,CMS Energy,Utilities,Multi-Utilities,SP500,US
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SP500,US
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,SP500,US
COHR,Coherent Corp.,Information Technology,Electronic Components,SP500,US
COIN,Coinbase,Financials,Financial Exchanges & Data,SP500,US
CL,Colgate-Palmolive,Consumer Staples,Household Products,SP500,US
CMCSA,Comcast,Communication Services,Cable & Satellite,SP500,US
FIX,Comfort Systems USA,Industrials,Construction & Engineering,SP500,US
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,SP500,US
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,SP500,US
ED,Consolidated Edison,Utilities,Multi-Utilities,SP500,US
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,SP500,US
CEG,Constellation Energy,Utilities,Electric Utilities,SP500,US
COO,Cooper Companies (The),Health Care,Health Care Supplies,SP500,US
CPRT,Copart,Industrials,Diversified Support Services,SP500,US
GLW,Corning Inc.,Information Technology,Electronic Components,SP500,US
CPAY,Corpay,Financials,Transaction & Payment Processing Services,SP500,US
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,SP500,US
CSGP,CoStar Group,Real Estate,Real Estate Services,SP500,US
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,SP500,US
CRH,CRH plc,Materials,Construction Materials,SP500,US
CRWD,CrowdStrike,Information Technology,Systems Software,SP500,US
CCI,Crown Castle,Real Estate,Telecom Tower REITs,SP500,US
CSX,CSX Corporation,Industrials,Rail Transportation,SP500,US
